image,method,threshold,shrink,patch_size,sigma,mse,psnr
crocodilo_gray.jpg,global,hard,b,5,10,88.87,28.64
crocodilo_gray.jpg,global,hard,b,5,20,311.99,23.19
crocodilo_gray.jpg,global,hard,b,5,30,610.81,20.27
crocodilo_gray.jpg,global,hard,b,7,10,89.40,28.62
crocodilo_gray.jpg,global,hard,b,7,20,315.28,23.14
crocodilo_gray.jpg,global,hard,b,7,30,621.68,20.20
crocodilo_gray.jpg,global,hard,b,9,10,89.52,28.61
crocodilo_gray.jpg,global,hard,b,9,20,315.07,23.15
crocodilo_gray.jpg,global,hard,b,9,30,624.45,20.18
crocodilo_gray.jpg,global,soft,v,5,10,214.63,24.81
crocodilo_gray.jpg,global,soft,v,5,20,571.29,20.56
crocodilo_gray.jpg,global,soft,v,5,30,1019.55,18.05
crocodilo_gray.jpg,global,soft,v,7,10,189.51,25.35
crocodilo_gray.jpg,global,soft,v,7,20,449.89,21.60
crocodilo_gray.jpg,global,soft,v,7,30,755.66,19.35
crocodilo_gray.jpg,global,soft,v,9,10,185.73,25.44
crocodilo_gray.jpg,global,soft,v,9,20,408.78,22.02
crocodilo_gray.jpg,global,soft,v,9,30,650.70,20.00
crocodilo_gray.jpg,global,soft,b,5,10,69.12,29.73
crocodilo_gray.jpg,global,soft,b,5,20,201.84,25.08
crocodilo_gray.jpg,global,soft,b,5,30,351.65,22.67
crocodilo_gray.jpg,global,soft,b,7,10,68.96,29.75
crocodilo_gray.jpg,global,soft,b,7,20,201.04,25.10
crocodilo_gray.jpg,global,soft,b,7,30,342.61,22.78
crocodilo_gray.jpg,global,soft,b,9,10,68.98,29.74
crocodilo_gray.jpg,global,soft,b,9,20,201.14,25.10
crocodilo_gray.jpg,global,soft,b,9,30,340.43,22.81
darkvador_gray.jpg,local,hard,v,5,10,14.47,36.53
darkvador_gray.jpg,local,hard,v,5,20,58.44,30.46
darkvador_gray.jpg,local,hard,v,5,30,133.66,26.87
darkvador_gray.jpg,local,hard,v,7,10,12.58,37.14
darkvador_gray.jpg,local,hard,v,7,20,39.56,32.16
darkvador_gray.jpg,local,hard,v,7,30,84.69,28.85
darkvador_gray.jpg,local,hard,v,9,10,12.66,37.11
darkvador_gray.jpg,local,hard,v,9,20,34.41,32.76
darkvador_gray.jpg,local,hard,v,9,30,66.88,29.88
darkvador_gray.jpg,local,hard,b,5,10,72.75,29.51
darkvador_gray.jpg,local,hard,b,5,20,221.17,24.68
darkvador_gray.jpg,local,hard,b,5,30,386.36,22.26
darkvador_gray.jpg,local,hard,b,7,10,74.10,29.43
darkvador_gray.jpg,local,hard,b,7,20,222.08,24.67
darkvador_gray.jpg,local,hard,b,7,30,383.96,22.29
darkvador_gray.jpg,local,hard,b,9,10,74.33,29.42
darkvador_gray.jpg,local,hard,b,9,20,223.00,24.65
darkvador_gray.jpg,local,hard,b,9,30,383.91,22.29
darkvador_gray.jpg,local,soft,v,5,10,96.86,28.27
darkvador_gray.jpg,local,soft,v,5,20,287.06,23.55
darkvador_gray.jpg,local,soft,v,5,30,510.28,21.05
darkvador_gray.jpg,local,soft,v,7,10,66.48,29.90
darkvador_gray.jpg,local,soft,v,7,20,192.73,25.28
darkvador_gray.jpg,local,soft,v,7,30,345.47,22.75
darkvador_gray.jpg,local,soft,v,9,10,54.24,30.79
darkvador_gray.jpg,local,soft,v,9,20,149.17,26.39
darkvador_gray.jpg,local,soft,v,9,30,267.71,23.85
darkvador_gray.jpg,local,soft,b,5,10,45.26,31.57
darkvador_gray.jpg,local,soft,b,5,20,117.32,27.44
darkvador_gray.jpg,local,soft,b,5,30,197.73,25.17
darkvador_gray.jpg,local,soft,b,7,10,44.21,31.68
darkvador_gray.jpg,local,soft,b,7,20,109.45,27.74
darkvador_gray.jpg,local,soft,b,7,30,174.62,25.71
darkvador_gray.jpg,local,soft,b,9,10,44.25,31.67
darkvador_gray.jpg,local,soft,b,9,20,106.73,27.85
darkvador_gray.jpg,local,soft,b,9,30,164.70,25.96
darkvador_gray.jpg,global,hard,v,5,10,16.58,35.93
darkvador_gray.jpg,global,hard,v,5,20,56.91,30.58
darkvador_gray.jpg,global,hard,v,5,30,130.47,26.98
darkvador_gray.jpg,global,hard,v,7,10,14.85,36.41
darkvador_gray.jpg,global,hard,v,7,20,42.15,31.88
darkvador_gray.jpg,global,hard,v,7,30,83.21,28.93
darkvador_gray.jpg,global,hard,v,9,10,14.51,36.51
darkvador_gray.jpg,global,hard,v,9,20,38.23,32.31
darkvador_gray.jpg,global,hard,v,9,30,69.44,29.71
darkvador_gray.jpg,global,hard,b,5,10,73.88,29.45
darkvador_gray.jpg,global,hard,b,5,20,234.33,24.43
darkvador_gray.jpg,global,hard,b,5,30,424.30,21.85
darkvador_gray.jpg,global,hard,b,7,10,74.56,29.41
darkvador_gray.jpg,global,hard,b,7,20,234.71,24.43
darkvador_gray.jpg,global,hard,b,7,30,425.94,21.84
darkvador_gray.jpg,global,hard,b,9,10,75.09,29.38
darkvador_gray.jpg,global,hard,b,9,20,235.65,24.41
darkvador_gray.jpg,global,hard,b,9,30,427.30,21.82
darkvador_gray.jpg,global,soft,v,5,10,118.29,27.40
darkvador_gray.jpg,global,soft,v,5,20,365.99,22.50
darkvador_gray.jpg,global,soft,v,5,30,692.79,19.72
darkvador_gray.jpg,global,soft,v,7,10,80.44,29.08
darkvador_gray.jpg,global,soft,v,7,20,235.84,24.40
darkvador_gray.jpg,global,soft,v,7,30,439.88,21.70
darkvador_gray.jpg,global,soft,v,9,10,64.94,30.01
darkvador_gray.jpg,global,soft,v,9,20,179.44,25.59
darkvador_gray.jpg,global,soft,v,9,30,325.25,23.01
darkvador_gray.jpg,global,soft,b,5,10,48.59,31.26
darkvador_gray.jpg,global,soft,b,5,20,129.26,27.02
darkvador_gray.jpg,global,soft,b,5,30,215.76,24.79
darkvador_gray.jpg,global,soft,b,7,10,47.80,31.34
darkvador_gray.jpg,global,soft,b,7,20,123.14,27.23
darkvador_gray.jpg,global,soft,b,7,30,195.01,25.23
darkvador_gray.jpg,global,soft,b,9,10,47.70,31.35
darkvador_gray.jpg,global,soft,b,9,20,120.70,27.31
darkvador_gray.jpg,global,soft,b,9,30,190.66,25.33
gekko_gray.jpg,local,hard,v,5,10,16.71,35.90
gekko_gray.jpg,local,hard,v,5,20,61.59,30.24
gekko_gray.jpg,local,hard,v,5,30,126.03,27.13
gekko_gray.jpg,local,hard,v,7,10,9.67,38.28
gekko_gray.jpg,local,hard,v,7,20,34.41,32.76
gekko_gray.jpg,local,hard,v,7,30,74.61,29.40
gekko_gray.jpg,local,hard,v,9,10,10.24,38.03
gekko_gray.jpg,local,hard,v,9,20,27.16,33.79
gekko_gray.jpg,local,hard,v,9,30,53.29,30.86
gekko_gray.jpg,local,hard,b,5,10,62.64,30.16
gekko_gray.jpg,local,hard,b,5,20,164.04,25.98
gekko_gray.jpg,local,hard,b,5,30,265.62,23.89
gekko_gray.jpg,local,hard,b,7,10,62.41,30.18
gekko_gray.jpg,local,hard,b,7,20,158.20,26.14
gekko_gray.jpg,local,hard,b,7,30,243.78,24.26
gekko_gray.jpg,local,hard,b,9,10,62.42,30.18
gekko_gray.jpg,local,hard,b,9,20,157.21,26.17
gekko_gray.jpg,local,hard,b,9,30,230.81,24.50
gekko_gray.jpg,local,soft,v,5,10,70.78,29.63
gekko_gray.jpg,local,soft,v,5,20,175.08,25.70
gekko_gray.jpg,local,soft,v,5,30,263.41,23.92
gekko_gray.jpg,local,soft,v,7,10,45.56,31.55
gekko_gray.jpg,local,soft,v,7,20,122.43,27.25
gekko_gray.jpg,local,soft,v,7,30,198.22,25.16
gekko_gray.jpg,local,soft,v,9,10,36.37,32.52
gekko_gray.jpg,local,soft,v,9,20,92.69,28.46
gekko_gray.jpg,local,soft,v,9,30,155.28,26.22
gekko_gray.jpg,local,soft,b,5,10,31.34,33.17
gekko_gray.jpg,local,soft,b,5,20,74.51,29.41
gekko_gray.jpg,local,soft,b,5,30,120.37,27.33
gekko_gray.jpg,local,soft,b,7,10,29.15,33.48
gekko_gray.jpg,local,soft,b,7,20,62.92,30.14
gekko_gray.jpg,local,soft,b,7,30,96.90,28.27
gekko_gray.jpg,local,soft,b,9,10,28.66,33.56
gekko_gray.jpg,local,soft,b,9,20,58.53,30.46
gekko_gray.jpg,local,soft,b,9,30,85.98,28.79
gekko_gray.jpg,global,hard,v,5,10,19.28,35.28
gekko_gray.jpg,global,hard,v,5,20,81.33,29.03
gekko_gray.jpg,global,hard,v,5,30,184.74,25.47
gekko_gray.jpg,global,hard,v,7,10,9.93,38.16
gekko_gray.jpg,global,hard,v,7,20,40.57,32.05
gekko_gray.jpg,global,hard,v,7,30,95.76,28.32
gekko_gray.jpg,global,hard,v,9,10,10.34,37.98
gekko_gray.jpg,global,hard,v,9,20,30.01,33.36
gekko_gray.jpg,global,hard,v,9,30,63.78,30.08
gekko_gray.jpg,global,hard,b,5,10,73.71,29.46
gekko_gray.jpg,global,hard,b,5,20,206.81,24.98
gekko_gray.jpg,global,hard,b,5,30,342.45,22.78
gekko_gray.jpg,global,hard,b,7,10,73.80,29.45
gekko_gray.jpg,global,hard,b,7,20,204.83,25.02
gekko_gray.jpg,global,hard,b,7,30,325.00,23.01
gekko_gray.jpg,global,hard,b,9,10,73.78,29.45
gekko_gray.jpg,global,hard,b,9,20,202.40,25.07
gekko_gray.jpg,global,hard,b,9,30,318.79,23.10
gekko_gray.jpg,global,soft,v,5,10,98.88,28.18
gekko_gray.jpg,global,soft,v,5,20,261.41,23.96
gekko_gray.jpg,global,soft,v,5,30,408.84,22.02
gekko_gray.jpg,global,soft,v,7,10,58.87,30.43
gekko_gray.jpg,global,soft,v,7,20,170.57,25.81
gekko_gray.jpg,global,soft,v,7,30,292.21,23.47
gekko_gray.jpg,global,soft,v,9,10,46.05,31.50
gekko_gray.jpg,global,soft,v,9,20,126.90,27.10
gekko_gray.jpg,global,soft,v,9,30,219.77,24.71
gekko_gray.jpg,global,soft,b,5,10,38.56,32.27
gekko_gray.jpg,global,soft,b,5,20,93.17,28.44
gekko_gray.jpg,global,soft,b,5,30,150.97,26.34
gekko_gray.jpg,global,soft,b,7,10,36.24,32.54
gekko_gray.jpg,global,soft,b,7,20,79.35,29.14
gekko_gray.jpg,global,soft,b,7,30,121.25,27.29
gekko_gray.jpg,global,soft,b,9,10,35.83,32.59
gekko_gray.jpg,global,soft,b,9,20,74.88,29.39
gekko_gray.jpg,global,soft,b,9,30,106.57,27.85
mbappe_gray.jpg,local,hard,v,5,10,33.86,32.83
mbappe_gray.jpg,local,hard,v,5,20,89.84,28.60
mbappe_gray.jpg,local,hard,v,5,30,178.88,25.61
mbappe_gray.jpg,local,hard,v,7,10,35.34,32.65
mbappe_gray.jpg,local,hard,v,7,20,78.63,29.18
mbappe_gray.jpg,local,hard,v,7,30,130.76,26.97
mbappe_gray.jpg,local,hard,v,9,10,37.18,32.43
mbappe_gray.jpg,local,hard,v,9,20,78.34,29.19
mbappe_gray.jpg,local,hard,v,9,30,119.52,27.36
mbappe_gray.jpg,local,hard,b,5,10,80.46,29.07
mbappe_gray.jpg,local,hard,b,5,20,231.75,24.48
mbappe_gray.jpg,local,hard,b,5,30,386.13,22.26
mbappe_gray.jpg,local,hard,b,7,10,81.90,29.00
mbappe_gray.jpg,local,hard,b,7,20,235.57,24.41
mbappe_gray.jpg,local,hard,b,7,30,386.78,22.26
mbappe_gray.jpg,local,hard,b,9,10,83.34,28.92
mbappe_gray.jpg,local,hard,b,9,20,238.59,24.35
mbappe_gray.jpg,local,hard,b,9,30,391.61,22.20
mbappe_gray.jpg,local,soft,v,5,10,127.41,27.08
mbappe_gray.jpg,local,soft,v,5,20,322.18,23.05
mbappe_gray.jpg,local,soft,v,5,30,530.42,20.88
mbappe_gray.jpg,local,soft,v,7,10,104.52,27.94
mbappe_gray.jpg,local,soft,v,7,20,240.67,24.32
mbappe_gray.jpg,local,soft,v,7,30,390.62,22.21
mbappe_gray.jpg,local,soft,v,9,10,96.70,28.28
mbappe_gray.jpg,local,soft,v,9,20,205.45,25.00
mbappe_gray.jpg,local,soft,v,9,30,324.24,23.02
mbappe_gray.jpg,local,soft,b,5,10,50.45,31.10
mbappe_gray.jpg,local,soft,b,5,20,124.26,27.19
mbappe_gray.jpg,local,soft,b,5,30,203.59,25.04
mbappe_gray.jpg,local,soft,b,7,10,50.37,31.11
mbappe_gray.jpg,local,soft,b,7,20,119.29,27.36
mbappe_gray.jpg,local,soft,b,7,30,184.63,25.47
mbappe_gray.jpg,local,soft,b,9,10,50.73,31.08
mbappe_gray.jpg,local,soft,b,9,20,117.63,27.43
mbappe_gray.jpg,local,soft,b,9,30,176.51,25.66
mbappe_gray.jpg,global,hard,v,5,10,36.83,32.47
mbappe_gray.jpg,global,hard,v,5,20,91.06,28.54
mbappe_gray.jpg,global,hard,v,5,30,186.66,25.42
mbappe_gray.jpg,global,hard,v,7,10,39.41,32.18
mbappe_gray.jpg,global,hard,v,7,20,82.84,28.95
mbappe_gray.jpg,global,hard,v,7,30,134.62,26.84
mbappe_gray.jpg,global,hard,v,9,10,42.33,31.86
mbappe_gray.jpg,global,hard,v,9,20,84.94,28.84
mbappe_gray.jpg,global,hard,v,9,30,126.09,27.12
mbappe_gray.jpg,global,hard,b,5,10,90.86,28.55
mbappe_gray.jpg,global,hard,b,5,20,298.92,23.38
mbappe_gray.jpg,global,hard,b,5,30,544.97,20.77
mbappe_gray.jpg,global,hard,b,7,10,91.87,28.50
mbappe_gray.jpg,global,hard,b,7,20,303.62,23.31
mbappe_gray.jpg,global,hard,b,7,30,552.49,20.71
mbappe_gray.jpg,global,hard,b,9,10,92.56,28.47
mbappe_gray.jpg,global,hard,b,9,20,307.41,23.25
mbappe_gray.jpg,global,hard,b,9,30,562.53,20.63
mbappe_gray.jpg,global,soft,v,5,10,168.59,25.86
mbappe_gray.jpg,global,soft,v,5,20,479.92,21.32
mbappe_gray.jpg,global,soft,v,5,30,885.23,18.66
mbappe_gray.jpg,global,soft,v,7,10,128.87,27.03
mbappe_gray.jpg,global,soft,v,7,20,323.71,23.03
mbappe_gray.jpg,global,soft,v,7,30,576.53,20.52
mbappe_gray.jpg,global,soft,v,9,10,115.47,27.51
mbappe_gray.jpg,global,soft,v,9,20,261.12,23.96
mbappe_gray.jpg,global,soft,v,9,30,439.09,21.71
mbappe_gray.jpg,global,soft,b,5,10,63.88,30.08
mbappe_gray.jpg,global,soft,b,5,20,167.87,25.88
mbappe_gray.jpg,global,soft,b,5,30,272.04,23.78
mbappe_gray.jpg,global,soft,b,7,10,63.89,30.08
mbappe_gray.jpg,global,soft,b,7,20,164.60,25.97
mbappe_gray.jpg,global,soft,b,7,30,254.51,24.07
mbappe_gray.jpg,global,soft,b,9,10,64.27,30.05
mbappe_gray.jpg,global,soft,b,9,20,164.27,25.98
mbappe_gray.jpg,global,soft,b,9,30,250.15,24.15
steve_gray.jpg,local,hard,v,5,10,16.21,36.03
steve_gray.jpg,local,hard,v,5,20,53.21,30.87
steve_gray.jpg,local,hard,v,5,30,135.31,26.82
steve_gray.jpg,local,hard,v,7,10,14.88,36.40
steve_gray.jpg,local,hard,v,7,20,44.27,31.67
steve_gray.jpg,local,hard,v,7,30,86.77,28.75
steve_gray.jpg,local,hard,v,9,10,15.64,36.19
steve_gray.jpg,local,hard,v,9,20,42.28,31.87
steve_gray.jpg,local,hard,v,9,30,76.79,29.28
steve_gray.jpg,local,hard,b,5,10,89.15,28.63
steve_gray.jpg,local,hard,b,5,20,277.54,23.70
steve_gray.jpg,local,hard,b,5,30,462.67,21.48
steve_gray.jpg,local,hard,b,7,10,89.99,28.59
steve_gray.jpg,local,hard,b,7,20,280.31,23.65
steve_gray.jpg,local,hard,b,7,30,474.25,21.37
steve_gray.jpg,local,hard,b,9,10,90.28,28.57
steve_gray.jpg,local,hard,b,9,20,283.70,23.60
steve_gray.jpg,local,hard,b,9,30,483.23,21.29
steve_gray.jpg,local,soft,v,5,10,120.35,27.33
steve_gray.jpg,local,soft,v,5,20,394.93,22.17
steve_gray.jpg,local,soft,v,5,30,762.22,19.31
steve_gray.jpg,local,soft,v,7,10,87.97,28.69
steve_gray.jpg,local,soft,v,7,20,271.57,23.79
steve_gray.jpg,local,soft,v,7,30,531.77,20.87
steve_gray.jpg,local,soft,v,9,10,75.51,29.35
steve_gray.jpg,local,soft,v,9,20,224.10,24.63
steve_gray.jpg,local,soft,v,9,30,423.47,21.86
steve_gray.jpg,local,soft,b,5,10,58.58,30.45
steve_gray.jpg,local,soft,b,5,20,154.16,26.25
steve_gray.jpg,local,soft,b,5,30,249.48,24.16
steve_gray.jpg,local,soft,b,7,10,58.82,30.44
steve_gray.jpg,local,soft,b,7,20,150.20,26.36
steve_gray.jpg,local,soft,b,7,30,232.38,24.47
steve_gray.jpg,local,soft,b,9,10,59.27,30.40
steve_gray.jpg,local,soft,b,9,20,151.34,26.33
steve_gray.jpg,local,soft,b,9,30,228.29,24.55
steve_gray.jpg,global,hard,v,5,10,14.84,36.42
steve_gray.jpg,global,hard,v,5,20,39.99,32.11
steve_gray.jpg,global,hard,v,5,30,203.25,25.05
steve_gray.jpg,global,hard,v,7,10,15.55,36.21
steve_gray.jpg,global,hard,v,7,20,36.99,32.45
steve_gray.jpg,global,hard,v,7,30,76.20,29.31
steve_gray.jpg,global,hard,v,9,10,16.15,36.05
steve_gray.jpg,global,hard,v,9,20,40.26,32.08
steve_gray.jpg,global,hard,v,9,30,70.03,29.68
steve_gray.jpg,global,hard,b,5,10,95.00,28.35
steve_gray.jpg,global,hard,b,5,20,314.03,23.16
steve_gray.jpg,global,hard,b,5,30,505.69,21.09
steve_gray.jpg,global,hard,b,7,10,95.57,28.33
steve_gray.jpg,global,hard,b,7,20,320.84,23.07
steve_gray.jpg,global,hard,b,7,30,528.50,20.90
steve_gray.jpg,global,hard,b,9,10,96.35,28.29
steve_gray.jpg,global,hard,b,9,20,325.57,23.00
steve_gray.jpg,global,hard,b,9,30,550.79,20.72
steve_gray.jpg,global,soft,v,5,10,138.67,26.71
steve_gray.jpg,global,soft,v,5,20,494.18,21.19
steve_gray.jpg,global,soft,v,5,30,976.24,18.24
steve_gray.jpg,global,soft,v,7,10,98.51,28.20
steve_gray.jpg,global,soft,v,7,20,322.13,23.05
steve_gray.jpg,global,soft,v,7,30,655.96,19.96
steve_gray.jpg,global,soft,v,9,10,84.52,28.86
steve_gray.jpg,global,soft,v,9,20,253.93,24.08
steve_gray.jpg,global,soft,v,9,30,498.17,21.16
steve_gray.jpg,global,soft,b,5,10,62.73,30.16
steve_gray.jpg,global,soft,b,5,20,155.15,26.22
steve_gray.jpg,global,soft,b,5,30,246.97,24.20
steve_gray.jpg,global,soft,b,7,10,63.01,30.14
steve_gray.jpg,global,soft,b,7,20,154.65,26.24
steve_gray.jpg,global,soft,b,7,30,223.40,24.64
steve_gray.jpg,global,soft,b,9,10,63.67,30.09
steve_gray.jpg,global,soft,b,9,20,156.33,26.19
steve_gray.jpg,global,soft,b,9,30,222.48,24.66
moto_gray.jpeg,local,hard,v,5,10,21.50,34.81
moto_gray.jpeg,local,hard,v,5,20,64.94,30.01
moto_gray.jpeg,local,hard,v,5,30,134.83,26.83
moto_gray.jpeg,local,hard,v,7,10,21.06,34.90
moto_gray.jpeg,local,hard,v,7,20,56.01,30.65
moto_gray.jpeg,local,hard,v,7,30,101.58,28.06
moto_gray.jpeg,local,hard,v,9,10,21.73,34.76
moto_gray.jpeg,local,hard,v,9,20,55.11,30.72
moto_gray.jpeg,local,hard,v,9,30,94.09,28.40
moto_gray.jpeg,local,hard,b,5,10,72.49,29.53
moto_gray.jpeg,local,hard,b,5,20,222.54,24.66
moto_gray.jpeg,local,hard,b,5,30,403.39,22.07
moto_gray.jpeg,local,hard,b,7,10,72.08,29.55
moto_gray.jpeg,local,hard,b,7,20,220.87,24.69
moto_gray.jpeg,local,hard,b,7,30,396.89,22.14
moto_gray.jpeg,local,hard,b,9,10,72.36,29.54
moto_gray.jpeg,local,hard,b,9,20,221.01,24.69
moto_gray.jpeg,local,hard,b,9,30,396.49,22.15
moto_gray.jpeg,local,soft,v,5,10,111.14,27.67
moto_gray.jpeg,local,soft,v,5,20,319.64,23.08
moto_gray.jpeg,local,soft,v,5,30,578.42,20.51
moto_gray.jpeg,local,soft,v,7,10,86.50,28.76
moto_gray.jpeg,local,soft,v,7,20,230.81,24.50
moto_gray.jpeg,local,soft,v,7,30,406.77,22.04
moto_gray.jpeg,local,soft,v,9,10,77.68,29.23
moto_gray.jpeg,local,soft,v,9,20,194.66,25.24
moto_gray.jpeg,local,soft,v,9,30,332.69,22.91
moto_gray.jpeg,local,soft,b,5,10,48.54,31.27
moto_gray.jpeg,local,soft,b,5,20,129.53,27.01
moto_gray.jpeg,local,soft,b,5,30,219.23,24.72
moto_gray.jpeg,local,soft,b,7,10,47.50,31.36
moto_gray.jpeg,local,soft,b,7,20,124.25,27.19
moto_gray.jpeg,local,soft,b,7,30,202.26,25.07
moto_gray.jpeg,local,soft,b,9,10,47.43,31.37
moto_gray.jpeg,local,soft,b,9,20,123.03,27.23
moto_gray.jpeg,local,soft,b,9,30,197.56,25.17
moto_gray.jpeg,global,hard,v,5,10,22.26,34.66
moto_gray.jpeg,global,hard,v,5,20,69.37,29.72
moto_gray.jpeg,global,hard,v,5,30,148.90,26.40
moto_gray.jpeg,global,hard,v,7,10,22.48,34.61
moto_gray.jpeg,global,hard,v,7,20,59.37,30.39
moto_gray.jpeg,global,hard,v,7,30,109.91,27.72
moto_gray.jpeg,global,hard,v,9,10,24.70,34.20
moto_gray.jpeg,global,hard,v,9,20,59.88,30.36
moto_gray.jpeg,global,hard,v,9,30,102.06,28.04
moto_gray.jpeg,global,hard,b,5,10,87.46,28.71
moto_gray.jpeg,global,hard,b,5,20,302.22,23.33
moto_gray.jpeg,global,hard,b,5,30,590.25,20.42
moto_gray.jpeg,global,hard,b,7,10,87.66,28.70
moto_gray.jpeg,global,hard,b,7,20,301.80,23.33
moto_gray.jpeg,global,hard,b,7,30,590.51,20.42
moto_gray.jpeg,global,hard,b,9,10,87.90,28.69
moto_gray.jpeg,global,hard,b,9,20,304.94,23.29
moto_gray.jpeg,global,hard,b,9,30,594.45,20.39
moto_gray.jpeg,global,soft,v,5,10,160.81,26.07
moto_gray.jpeg,global,soft,v,5,20,514.31,21.02
moto_gray.jpeg,global,soft,v,5,30,1006.45,18.10
moto_gray.jpeg,global,soft,v,7,10,114.63,27.54
moto_gray.jpeg,global,soft,v,7,20,335.49,22.87
moto_gray.jpeg,global,soft,v,7,30,634.51,20.11
moto_gray.jpeg,global,soft,v,9,10,98.27,28.21
moto_gray.jpeg,global,soft,v,9,20,263.16,23.93
moto_gray.jpeg,global,soft,v,9,30,475.96,21.36
moto_gray.jpeg,global,soft,b,5,10,65.99,29.94
moto_gray.jpeg,global,soft,b,5,20,192.00,25.30
moto_gray.jpeg,global,soft,b,5,30,331.94,22.92
moto_gray.jpeg,global,soft,b,7,10,65.48,29.97
moto_gray.jpeg,global,soft,b,7,20,187.31,25.41
moto_gray.jpeg,global,soft,b,7,30,318.70,23.10
moto_gray.jpeg,global,soft,b,9,10,65.52,29.97
moto_gray.jpeg,global,soft,b,9,20,186.21,25.43
moto_gray.jpeg,global,soft,b,9,30,314.43,23.16
